"","mean_RT","Fly_001","Fly_002","Fly_004","Fly_005","Fly_006","Fly_016","Fly_017","Fly_018","Fly_019","Fly_020"
"P1",4.1182,0,4.156,0,4.129,0,4.108,0,4.115,0,4.108
"P2",4.489,0,0,0,0,0,0,4.494,0,0,0
"P3",5.007,5.004,5.018,5.011,5.011,5.011,5.004,5.018,5.011,5.011,5.011
"P4",5.227,5.218,0,0,5.246,5.232,0,0,0,0,5.232
"P5",5.5884,0,0,5.639,0,5.611,5.563,5.577,5.577,0,0
"P6",5.72,5.701,5.735,0,5.715,0,0,0,0,5.749,5.715
"P7",5.854,0,0,0,0,0,0,0,0,0,5.859
"P8",6.1964,6.156,0,0,6.17,6.225,0,6.238,0,0,6.218
"P9",6.47988888888889,6.445,6.494,6.528,6.473,6.508,0,6.528,6.501,6.466,6.411
"P10",6.716,6.707,0,0,0,0,6.735,0,0,0,0
"P11",7.035375,0,0,7.038,7.032,7.052,7.038,7.052,7.038,7.025,7.038
"P12",7.19842857142857,7.19,7.211,0,7.204,0,0,7.204,7.204,7.204,7.197
"P13",7.27377777777778,7.259,7.287,7.287,7.273,7.28,7.28,7.28,7.28,7.273,0
"P14",8.6212,8.638,8.617,0,0,8.624,0,8.631,0,8.611,0
"P15",8.809,8.797,0,0,8.817,8.818,0,8.824,8.817,8.818,8.797
"P16",9.0403,9.038,9.045,9.038,9.045,9.038,9.045,9.052,9.038,9.024,9.08
"P17",9.467,0,0,9.472,0,0,0,0,0,0,0
"P18",9.647,0,0,0,0,9.666,0,9.631,0,0,9.659
"P19",9.73,0,0,0,0,0,0,0,0,0,9.735
"P20",9.8053,9.803,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81,9.81
"P21",10.0177777777778,10.01,10.038,10.01,10.024,10.017,0,10.031,10.024,10.024,10.017
"P22",10.453,0,0,0,0,0,0,10.458,0,0,0
"P23",10.6354285714286,10.631,10.638,0,10.645,0,0,10.645,10.645,10.631,10.638
"P24",10.757,0,0,0,0,10.762,0,0,0,0,0
"P25",10.943,0,0,0,0,0,0,0,0,0,10.948
"P26",11.0973333333333,11.086,11.107,11.114,11.107,11.107,11.107,11.1,11.093,0,11.1
"P27",11.5322,11.534,11.527,11.534,11.541,11.521,11.527,11.555,11.541,11.527,11.555
"P28",11.7605,11.755,0,0,0,0,11.776,0,0,0,0
"P29",12.088,0,0,0,0,0,0,0,0,0,12.093
"P30",12.1945,0,12.203,12.203,12.196,0,12.189,12.21,0,0,12.196
"P31",12.274,12.286,0,0,12.279,0,0,0,0,0,12.272
"P32",12.4064285714286,0,12.403,12.41,12.417,0,12.417,12.41,0,12.403,12.41
"P33",12.681,0,0,0,0,0,0,12.686,0,0,0
"P34",12.9033333333333,12.92,12.92,12.879,12.9,12.886,12.899,12.941,0,12.879,12.941
"P35",13.0321111111111,13.024,13.044,13.044,13.044,13.044,13.024,0,13.024,13.038,13.038
"P36",13.4206666666667,0,0,0,13.43,13.437,0,0,0,0,13.41
"P37",13.6598,13.651,13.658,0,0,0,0,13.658,13.692,0,13.665
"P38",13.7746666666667,0,0,0,0,0,13.782,13.768,0,0,13.789
"P39",13.8355,0,0,0,13.844,0,0,13.837,0,0,0
"P40",14.0181,14.016,14.017,14.017,14.024,14.003,14.023,14.03,14.03,13.996,14.065
"P41",14.543,0,0,0,14.541,14.555,0,0,0,0,14.548
"P42",14.618,0,0,0,0,0,0,0,0,0,14.623
"P43",14.6958888888889,14.685,14.706,0,14.699,14.692,14.706,14.699,14.713,14.706,14.692
"P44",14.9724,14.989,14.947,14.947,14.996,15.003,14.947,14.947,15.003,14.996,14.989
"P45",15.191375,15.196,15.196,15.196,0,15.196,0,15.196,15.189,15.189,15.203
"P46",15.294,0,0,0,0,0,0,15.285,15.313,0,0
"P47",15.562,15.554,0,0,15.575,0,0,0,0,15.561,15.568
"P48",16.039,0,0,0,16.051,16.051,0,16.044,16.037,0,16.037
"P49",16.1822,0,0,16.195,16.216,16.182,0,16.216,16.127,0,0
"P50",16.6385,0,0,16.657,0,0,0,0,0,0,16.63
"P51",16.784,0,0,0,0,0,0,0,0,0,16.789
"P52",17.004,0,0,17.009,0,0,0,0,0,0,0
"P53",17.1115,17.119,17.113,17.119,17.12,17.113,17.119,17.113,17.113,17.113,17.113
"P54",17.256375,0,17.25,17.313,17.257,17.264,17.244,0,17.251,17.251,17.251
"P55",17.38,0,0,0,17.382,17.395,17.388,17.388,17.375,0,17.382
"P56",17.504625,17.512,17.512,17.506,0,17.513,0,17.506,17.513,17.492,17.513
"P57",17.99,0,0,17.995,0,0,0,0,0,0,0
"P58",18.0765,0,0,0,18.085,0,0,0,0,0,18.078
"P59",18.204,0,0,0,0,0,0,0,0,0,18.209
"P60",18.3,0,0,18.305,0,0,0,0,0,0,0
"P61",18.5496666666667,0,0,18.505,0,0,0,0,0,18.568,18.581
"P62",18.6613333333333,18.671,18.65,18.664,18.664,18.678,18.671,18.664,18.657,0,18.678
"P63",18.7923333333333,0,0,0,0,0,18.795,18.795,0,0,18.802
"P64",18.9513333333333,0,0,0,18.961,18.954,0,0,0,0,18.954
"P65",19.183,0,0,0,0,19.174,0,0,0,0,19.202
"P66",19.266,0,0,19.271,0,0,0,0,0,0,0
"P67",19.4075,0,19.416,19.402,19.423,0,19.402,19.416,0,0,19.416
"P68",19.611,0,0,19.616,0,0,0,0,0,0,0
"P69",19.712,0,19.712,19.719,19.719,19.726,19.712,19.712,19.712,19.719,19.712
"P70",19.811,0,0,19.816,0,0,0,0,0,0,0
"P71",19.997,0,0,20.002,0,0,0,0,0,0,0
"P72",20.1703333333333,0,0,20.147,0,0,0,20.222,0,20.147,0
"P73",20.307,0,0,20.312,0,0,0,0,0,0,0
"P74",20.5426666666667,0,0,20.546,20.547,0,0,0,0,20.54,0
"P75",20.612,0,0,20.615,0,0,0,0,0,20.609,0
"P76",20.714,0,0,20.719,0,0,0,0,0,0,0
"P77",20.957,0,0,20.94,20.953,0,20.96,0,0,0,20.995
"P78",21.1052,21.112,21.112,21.119,21.119,21.112,21.091,21.105,21.119,21.098,21.105
"P79",21.355,0,0,21.36,0,0,0,0,0,0,0
"P80",21.45875,0,0,0,21.477,0,0,21.464,21.457,0,21.457
"P81",21.6082,21.608,21.615,21.608,21.615,21.615,21.608,21.615,21.615,21.615,21.608
"P82",21.7825,0,0,21.76,0,0,0,21.815,0,0,0
"P83",21.9308888888889,0,21.932,21.939,21.946,21.933,21.932,21.926,21.932,21.94,21.933
"P84",22.135,22.139,22.139,22.132,22.139,22.139,22.139,22.139,22.139,22.146,22.139
"P85",22.396,0,0,22.401,0,0,0,0,0,0,0
"P86",22.8235,0,0,22.863,0,0,0,22.794,0,0,0
"P87",22.9698571428571,22.974,22.967,22.946,22.981,22.988,0,22.987,0,0,22.981
"P88",23.04475,0,0,0,0,0,23.05,23.043,23.063,0,23.043
"P89",23.172,0,0,23.153,0,0,0,0,0,0,23.201
"P90",23.4466666666667,0,23.47,23.415,0,0,0,0,23.47,0,0
"P91",23.548,0,0,23.553,0,0,0,0,0,0,0
"P92",23.651,0,0,23.656,0,0,0,0,0,0,0
"P93",23.7224,23.711,23.725,23.725,23.725,23.732,23.725,23.732,23.732,23.732,23.725
"P94",23.844,0,0,23.842,23.856,0,0,0,0,0,0
"P95",23.9685,0,0,23.967,23.98,0,0,0,0,0,0
"P96",24.0486,24.049,24.049,24.056,24.056,24.05,24.056,24.056,24.056,24.049,24.049
"P97",24.155,0,0,24.16,0,0,0,0,0,0,0
"P98",24.2706,24.263,0,0,24.27,24.284,0,24.291,24.27,0,0
"P99",24.355,0,0,0,0,0,0,0,0,0,24.36
"P100",24.4335,0,24.442,24.435,24.429,24.443,24.442,24.435,0,24.436,24.436
"P101",24.49975,0,24.504,24.498,24.511,24.505,24.504,24.511,24.504,24.491,0
"P102",24.630125,0,24.629,0,24.636,24.622,24.635,24.628,24.636,24.656,24.629
"P103",24.768,0,0,24.773,0,0,0,0,0,0,0
"P104",25.02,24.98,25.001,0,25.056,25.056,25.001,0,0,0,25.056
"P105",25.1802,25.187,25.187,25.18,25.187,25.187,25.187,25.18,25.18,25.18,25.187
"P106",25.3343,25.332,25.339,25.346,25.346,25.339,25.332,25.332,25.346,25.339,25.332
"P107",25.396,0,0,0,0,0,0,0,0,0,25.401
"P108",25.538,0,0,25.49,25.566,0,0,0,25.573,0,0
"P109",25.63,0,0,0,0,0,0,0,0,0,25.635
"P110",25.6945,25.697,25.697,25.704,25.697,25.698,25.697,25.697,25.704,25.697,25.697
"P111",26.0923,26.097,26.097,26.097,26.097,26.097,26.097,26.097,26.09,26.097,26.097
"P112",26.285,0,0,0,26.29,0,0,0,0,0,0
"P113",26.5235,26.525,26.532,0,0,0,0,0,0,0,0
"P114",26.9395,26.959,26.959,26.932,26.939,26.932,26.945,26.945,26.939,26.939,26.946
"P115",27.209,0,0,0,0,0,0,27.214,0,0,0
"P116",27.4428,27.407,27.476,27.442,0,0,0,27.483,0,27.421,0
"P117",27.5998,27.6,27.607,27.607,27.607,27.608,27.607,27.6,27.601,27.594,27.607
"P118",27.9923,28,27.994,28,27.994,27.994,28,27.993,28,27.994,27.994
"P119",28.147,0,0,0,0,0,0,28.152,0,0,0
"P120",28.352,28.373,0,28.373,0,0,0,0,0,0,28.325
"P121",28.526,0,0,0,0,0,0,0,0,0,28.531
